Classement;Nom;Adresse;Ville;CodePostal;Couriel;Siteweb
3 étoiles;HÔTEL CAMPANILE LILLE EST VILLENEUVE D'ASCQ;48 AVENUE DE CANTELEU;VILLENEUVE-D'ASCQ;59491;lille.villeneuvedascq@campanile.fr;http://www.campanile-lille-est-villeneuve-dascq.fr/
2 étoiles;HÔTEL  ALEXANDRA;93 RUE ADOLPHE THIERS;BOULOGNE-SUR-MER;62200;contact@hotel-alexandra.fr;http://www.hotel-alexandra.fr
1 étoile;HÔTEL PREMIERE CLASSE BEAUVAIS;RUE GAY LUSSAC;BEAUVAIS;60000;beauvais@premiereclasse.fr;http://www.premiereclasse.com/fr/hotels/premiere-classe-beauvais
3 étoiles;HÔTEL KYRIAD LILLE CENTRE GARES;21 place des Reignaux;LILLE;59000;lille.centre@kyriad.fr;https://www.kyriad.com/fr/hotels/kyriad-lille-centre-gares
1 étoile;HÔTEL PREMIERE CLASSE LILLE CENTRE;19 PLACE DES REIGNAUX;LILLE;59000;lille.centre@premiereclasse.fr;http://www.premiere-classe-lille-centre.fr/fr
3 étoiles;HÔTEL IBIS CALAIS ;2 Rue Greuze Quartier Beau Marais;CALAIS;62100;h0715@accor.com;http://www.accorhotels.com/fr/hotel-0715-ibis-calais/index.shtml
3 étoiles;HÔTEL IBIS LILLE CENTRE GRAND PLACE;21 rue Lepelletier;LILLE;59000;h0902@accor.com;http://www.accorhotels.com/fr/hotel-0902-ibis-lille-centre-grand-place/index.shtml
4 étoiles;HÔTEL NOVOTEL LILLE CENTRE GARES;49 rue de Tournai;LILLE;59000;h3165@accor.com;http://www.accorhotels.com/fr/hotel-3165-novotel-lille-centre-gares/index.shtml
2 étoiles;HÔTEL IBIS BUDGET LILLE CENTRE;10 RUE DE COURTRAI;LILLE;59000;h5208-re@accor.com;http://www.accorhotels.com/fr/hotel-5208-ibis-budget-lille-centre/index.shtml
3 étoiles;HÔTEL KYRIAD BEAUVAIS SUD;26 RUE GAY LUSSAC;BEAUVAIS;60000;beauvais@kyriad.fr;http://www.kyriad.com/fr/hotels/kyriad-beauvais-sud
3 étoiles;HÔTEL IBIS LILLE ROUBAIX CENTRE;37 Bouleard du général leclerc;ROUBAIX;59100;H1017@accor.com;http://www.accorhotels.com/fr/hotel-1017-ibis-lille-roubaix-centre/index.shtml
4 étoiles;HÔTEL NOVOTEL SUITES GARE LILLE EUROPE;Boulevard de Turin;LILLE;59000;h5240@accor.com;http://www.accorhotels.com/fr/hotel-5240-novotel-suites-gare-lille-europe/index.shtml
3 étoiles;HÔTEL IBIS LILLE TOURCOING CENTRE;1 RUE CARNOT CENTRE DU GENERAL DE GAULLE;TOURCOING;59200;H0642@accor.com;http://www.accorhotels.com/fr/hotel-0642-ibis-lille-tourcoing-centre/index.shtml
3 étoiles;HÔTEL IBIS LILLE VILLENEUVE D'ASCQ GRAND STADE;RUE DU VERCORS;VILLENEUVE D'ASCQ;59491;H0614@accor.com;http://www.accorhotels.com/fr/hotel-0614-ibis-lille-villeneuve-d-ascq-grand-stade/index.shtml
2 étoiles;HÔTEL IBIS BUDGET LILLE VILLENEUVE D'ASCQ;9 BOULEVARD DE MONS;VILLENEUVE-D'ASCQ;59491;h5085-RE@accor.com;http://www.accorhotels.com/fr/hotel-5085-ibis-budget-lille-villeneuve-d-ascq/index.shtml
3 étoiles;HÔTEL LE SAINT-LOUIS;24 RUE DES OTAGES;AMIENS;80000;info@amiens-hotel.fr;http://www.amiens-hotel.fr/
4 étoiles;HÔTEL MERCURE AMIENS CATHEDRALE;21/23 rue Flatters;AMIENS;80000;h7076@accor.com;http://www.accorhotels.com/fr/hotel-7076-hotel-mercure-amiens-cathedrale/index.shtml
4 étoiles;HÔTEL NOVOTEL LILLE CENTRE GRAND PLACE;116 rue de l'hôpital militaire;LILLE;59000;H0918@accor.com;http://www.accorhotels.com/fr/hotel-0918-novotel-lille-centre-grand-place/index.shtml
3 étoiles;HÔTEL IBIS LILLE CENTRE GARES;29 avenue Charles Saint Venant;LILLE;59000;h0901@accor.com;http://www.accorhotels.com/fr/hotel-0901-ibis-lille-centre-gares/index.shtml
4 étoiles;HÔTEL MERCURE ARRAS CENTRE GARE;58 BOULEVARD CARNOT;ARRAS;62000;H1560@accor.com;http://www.accorhotels.com/fr/hotel-1560-hotel-mercure-arras-centre-gare/index.shtml
4 étoiles;HÔTEL NOVOTEL VALENCIENNES;RUE DE MAUGR zi n2 Prouvy Rouvignies;VALENCIENNES;59300;H0456@accor.com;http://www.accorhotels.com/fr/hotel-0456-novotel-valenciennes/index.shtml
4 étoiles;HÔTEL MERCURE LILLE CENTRE GRAND PLACE;2 BOULEVARD CARNOT;LILLE;59000;h0802-gm@accor.com;http://www.mercure-lille-centre-grand-place.com
3 étoiles;HÔTEL DU MOULIN D'OR;15 rue du Molinel;LILLE;59000;hotelmoulindor@orange.fr;http://hotelmoulindor.com
3 étoiles;ALL SUITES APPARTHOTEL;AVENUE DE L'UNIVERSITE;DUNKERQUE;59140;jean-michel.bourdet@allsuitesapparthotel.com;http://www.allsuites-apparthotel.com
3 étoiles;HÔTEL BALLADINS LILLE;24 place de la gare;LILLE;59000;lille.gare@balladins.com;http://www.balladins.com
3 étoiles;HÔTEL LE GAYANT;20 PLACE PIERRE BROSSOLETTE;DOUAI;59500;contact@legayant-hotel.fr;http://www.legayant-hotel.fr
3 étoiles;HÔTEL IBIS DOUAI CENTRE;PLACE SAINT-AMI;DOUAI;59500;h0956-gm@accor.com;http://www.ibis.com/fr/hotel-0956-ibis-douai-centre/index.shtml
2 étoiles;LE GRAND HÔTEL;51 RUE FAIDHERBE;LILLE;59000;reservation@grandhotellille.com;http://www.grandhotellille.com/
4 étoiles;HÔTEL CROWNE PLAZA LILLE EURALILLE;335 boulevard de Leeds;LILLE;59000;contact@lille-crowneplaza.com;http://www.lille-crowneplaza.com/
3 étoiles;APPART'CITY LILLE GRAND PALAIS;19 rue Berthe Morisot;LILLE;59000;lille-grandpalais@appartcity.com;http://appartcity.com
3 étoiles;HÔTEL RESTAURANT CAMPANILE LILLE SUD - CHR;RUE JEAN CHARLES BORDA;LILLE;59000;lille.chr@campanile.fr;http://www.campanile.fr
3 étoiles;HÔTEL IBIS LILLE CENTRE GRAND PALAIS;3 rue des Moulins de Garance;LILLE;59000;h9309@accor.com;http://www.accorhotels.com/fr/hotel-9309-ibis-lille-centre-grand-palais/index.shtml
2 étoiles;HÔTEL IBIS BUDGET SAINT-QUENTIN;84 RUE MICHELET;SAINT-QUENTIN;2100;H7410-RE@accor.com;http://www.accorhotels.com/fr/hotel-7410-ibis-budget-saint-quentin/index.shtml
2 étoiles;HÔTEL PREMIERE CLASSE AMIENS NORD;RUE RAPHAEL;AMIENS;80000;amiens.nord@premiereclasse.fr;http://www.premiereclasse.com/fr/hotels/premiere-classe-amiens
2 étoiles;HÔTEL VILLA GOUNOD;2 Rue Gounod;LILLE;59000;contact@villahotelgounod.com;http://www.villahotelgounod.com/
3 étoiles;COMFORT HÔTEL LILLE ROUBAIX;320 boulevard Gambetta;TOURCOING;59200;contact@comfortlilleroubaix.com;http://www.comfortlillelunion.com/
5 étoiles;HÔTEL BARRIERE LILLE;777 BIS PONT DE FLANDRES;LILLE;59000;hotelbarrierelille@lucienbarriere.com;http://www.hotelsbarriere.com/fr/lille/hotel-barriere.html
3 étoiles;HÔTEL IBIS STYLES LILLE CENTRE GARE BEFFROI;172 RUE DE PARIS;LILLE;59000;h1384@accor.com;http://www.ibis.com/fr/hotel-1384-ibis-styles-lille-centre-gare-beffroi/index.shtml
4 étoiles;NAJETI HÔTEL DE L'UNIVERS;3/5 place de la croix rouge;ARRAS;62000;sophie.maerten@najeti.com;http://www.univers.najeti.fr
3 étoiles;HOTEL MEURICE;5 RUE EDMOND ROCHE;CALAIS;62100;meurice@wanadoo.fr;http://www.hotel-meurice.fr
3 étoiles;HÔTEL IBIS BOULOGNE-SUR-MER CENTRE CATHEDRALE;62 RUE PORTE NEUVE;BOULOGNE-SUR-MER;62200;H1367-GM@accor.com;http://www.accorhotels.com/fr/hotel-1367-ibis-boulogne-sur-mer-centre-cathedrale/index.shtml
3 étoiles;HÔTEL IBIS STYLES AMIENS CATHEDRALE;17/19 Place au Feurre;AMIENS;80000;h2064@accor.com;http://www.accorhotels.com/fr/hotel-2064-ibis-styles-amiens-cathedrale/index.shtml
3 étoiles;HÔTEL HOLIDAY INN CALAIS;6 Boulevard des alliés;CALAIS;62100;reservations@hicalais.com;http://www.ihg.com/holidayinn/hotels/us/en/calais/calfr/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-FRA-_-CALFR
2 étoiles;HÔTEL B&B LILLE ROUBAIX CENTRE GARE;22 Place de la Gare;ROUBAIX;59100;bb_4581@hotelbb.com;http://www.hotel-bb.com/
3 étoiles;HÔTEL HOLIDAY INN EXPRESS AMIENS;10 boulevard d'alsace lorraine;AMIENS;80000;reservation@hieamiens.com;www.hieamiens.com
3 étoiles;HÔTEL HOLIDAY INN EXPRESS LILLE CENTRE;75 bis rue Léon Gambetta;LILLE;59000;reservation@holidayinn-lille.com;http://www.holidayinn-lille.com
4 étoiles;HÔTEL BOREL;6 rue l'Hermitte;DUNKERQUE;59140;gm@hotelborel.fr;http://www.hotelborel.fr
2 étoiles;HÔTEL B&B LENS MUSEE DU LOUVRE;Rue Gilles de Roberval ;LIEVIN;62800;bb_4585@hotelbb.com;http://www.hotel-bb.com/fr/hotels/lens-musee-du-louvre.htm
1 étoile;HÔTEL LE TRANSAT BLEU;3 rue de la Digue;DUNKERQUE;59140;letransatbleu@nordnet.fr;http://www.letransatbleu.fr
4 étoiles;HÔTEL MERCURE LILLE CENTRE VIEUX LILLE;27 RUE DES TOURS;LILLE;59000;h9735-gm@accor.com;http://www.mercure.com/fr/hotel-9735-hotel-mercure-lille-centre-vieux-lille-/index.shtml
3 étoiles;HÔTEL MODERNE;1 BOULEVARD FAIDHERBE;ARRAS;62000;contact@hotel-moderne-arras.com;http://www.hotel-moderne-arras.com/
3 étoiles;HÔTEL LE GRAND CERF;16 rue saint JEAN;DOUAI;59500;hotellegrandcerf@orange.fr;http://www.hotel-legrandcerf-douai.fr/
2 étoiles;HÔTEL LE JARDIN;29 Place de la République;LENS;62300;contact@hotel-lejardin.fr;http://hotel-lejardin.fr/
5 étoiles;HÔTEL CLARANCE;32 rue de la barre;LILLE;59000;clarance@clarancehotel.com;http://www.clarancehotel.com/
